id,failure_id,asset_config_id,event_description,mode_id,mode_description,date,time,detection,service_delay,immediate_investigation,type,safety_failure,hazard_id,cm_description,replaced_asset_config_id,cm_start_date,cm_start_time,cm_end_date,cm_end_time,oem_failure_reference
,6797,STC-ZC-24,ICC Building 14 ATS - ZC 24 A communication lost 2X,ZC01,Multiple Zone Controller Comms failure,01/01/2019,21:46,ATS,0,Software issue,Software,Yes,HZ111,"21:57 Informed to Thales DNP and MSI team
 restarted by LC Ajish 2X  Normalized at 21:47",None,02/01/2019,00:46,03/03/2019,02:46,
,6819,STC-ATS-VCP,Depot ICC VCP Monitors 1 and 2 are not working when IC tried to drop the cameras unable to access.,ATS01,ATS VCP embedded software failure,02/01/2019,12:06,SCADA,0,Software issue,Software,No,,"13:11 Informed to Thales DNP 
 15:15 confirmed to RKH FC fault self normalized. LS  tried and it was working normal",None,02/01/2019,15:06,03/03/2019,17:06,
,6822,STC-VOBC-T120,"T120 (UTO) RBF Station, CBTC Applied EB due to train door eneable output energize check back failure(Investigation needed) Self Normalized@08:58",VOBC06,Correct Side Door Enable failure,02/01/2019,12:56,Inspection,0,Check back failure,Hardware,Yes,HZ397,"Thales team update about the failure,Known issue as per thales ,fault self normalized",None,02/01/2019,15:56,03/03/2019,17:56,
,6858,STC-ATS-VCP,During functional check of ECS onboard in Train 103 when calling from ECS near to Door- L2 -Car B in VCP camera Pop up is showing for Door- L3-Car A instead of carB.,ATS01,ATS VCP embedded software failure,03/01/2019,10:58,Inspection,0,Software issue,Software,No,,Rebooted the sytem and fault normalized,None,03/01/2019,13:58,04/03/2019,15:58,
,6975,STC-ATS-WS-2,ATS crash for LC-2 wks.,ATS04,ATS software crash,04/01/2019,08:17,ATS,0,Software issue,Software,Yes,HZ79,8:17 LC restarted the wks and then fault normalised.,None,04/01/2019,11:17,05/03/2019,13:17,
,6989,STC-VOBC-T117,In T117- EB applied due to obstruction motion detected.,VOBC08,Wayside obstacle detection spurious activation,04/01/2019,13:52,ATS,0,Software issue,Software,Yes,HZ181,"13:10 Informed to Thales signaling team, later they said after dwell time vobc triggered self test(which should not done) this cause the obstruction motion and applied EB, still under investigation.
 Fault normalised within 30sec after reset the EB by LC.
 02252019: Thales SIG  updated at that time both vobc's became active caused the obstruction. This is a known issue and will be fixed in next software.",None,04/01/2019,16:52,05/03/2019,18:52,
,7865,STC-ZC-24,Depot ATS ZC 24A Communication lost/ Resetted by LC/fault normalized/02:11,ZC01,Zone Controller Comms failure,07/01/2019,02:19,ATS,0,Software issue,Software,Yes,HZ279," 02:11 Resetted by LC/fault normalized
 03:31 informed to Thales DNP",None,07/01/2019,05:19,08/03/2019,07:19,
,8089,STC-ZC-24,ATS ZC 24 A Communication lost,ZC01,Zone Controller Comms failure,08/01/2019,02:27,ATS,0,Software issue,Software,Yes,HZ128,"2:20  ZC -A remotely resetted by LC
 6:50 informed to DNP & SMC",None,08/01/2019,05:27,09/03/2019,07:27,
,8213,STC-ATS-WS-1,RSDT010 Depot - ICC ATS Workstation 1 crashed during Engineering hours and revenue hours,ATS04,ATS software crash,08/01/2019,22:32,ATS,0,Software issue,Software,No,,"Initial action taken by LC restarted the application/Fault normalized @21:05
 As per Thales Signaling this a known issue.",None,09/01/2019,01:32,10/03/2019,03:32,
,8223,STC-ATS-SRS,ICC LC ATS LSRS 14 shows fail on ATS.Reported by LC Arun.,ATS05,ATS SRS failure,09/01/2019,02:45,ATS ,0,Software issue,Software,No,,"02:46 informed to SMC SIG , FRT team , MSI support team and DNP thales team via SMS
 03:27 SMC Sig team with coordination with Thales SIG team, restarted remotely the application and found normalized. Updated RKH ICC FC",None,09/01/2019,05:45,10/03/2019,07:45,
